SITE,DESC,JAN,FEB,MAR,APRIL,MAY,JUNE,TOTAL
"5 - 965 Fall River Ave, MA",5.3OZ CHOBANI GRK YOG STRAW BANAN,0,0,0,0,5.00,10.00,15.00
"6 - 1776 Post Road, RI ",KRAFT BIG CHS STK NAT CHEDD,5.00,2.00,3.00,1.00,4.00,0,15.00
"2 - 3302 East Main Rd, RI",KRAFT BIG CHS STK NAT CHEDD,2.00,2.00,4.00,2.00,2.00,2.00,14.00
"5 - 965 Fall River Ave, MA",CABOT CRACKER CUTS PEPPER JACK,0,3.00,1.00,1.00,4.00,5.00,14.00
"5 - 965 Fall River Ave, MA",KRAFT PHIL CREAM CHSE PLN  BRICK,5.00,5.00,0,0,0,4.00,14.00
"5 - 965 Fall River Ave, MA",5.3OZ CHOBANI FLIP KEY LIME CRUMB,0,4.00,3.00,3.00,2.00,2.00,14.00
"1- 533 East Main Rd, RI",KRAFT PHIL BGL CHP W  STR CRM CH,5.00,5.00,3.00,0,0,0,13.00
"1- 533 East Main Rd, RI",KRAFT MAC   CHSE            1871,2.00,0,4.00,5.00,2.00,0,13.00
"2 - 3302 East Main Rd, RI",5.3OZ CHOBANI FLIP KEY LIME CRUMB,3.00,3.00,3.00,1.00,0,3.00,13.00
"5 - 965 Fall River Ave, MA",8OZ CABOT SOUR CRM,2.00,3.00,2.00,6.00,0,0,13.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI FLIP KEY LIME CRUMB,1.00,2.00,4.00,2.00,2.00,2.00,13.00
"6 - 1776 Post Road, RI ",VAN HOLTENS HOT PICKLE,10.00,3.00,0,0,0,0,13.00
"2 - 3302 East Main Rd, RI",VAN HOLTEN PICKLE DILL   I W 612,2.00,0,0,5.00,5.00,0,12.00
"6 - 1776 Post Road, RI ",KRAFT MAC   CHSE            1871,2.00,0,1.00,4.00,5.00,0,12.00
"2 - 3302 East Main Rd, RI",CABOT CRACKER CUTS VT SHRP CHED,2.00,0,3.00,2.00,0,4.00,11.00
"5 - 965 Fall River Ave, MA",5.3OZ CHOBANI FLIP PNUT BTR DREAM,0,0,0,5.00,6.00,0,11.00
"6 - 1776 Post Road, RI ",8OZ CABOT SOUR CRM,4.00,1.00,3.00,2.00,1.00,0,11.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI FLIP PNUT BTR DREAM,0,0,0,0,6.00,4.00,10.00
"5 - 965 Fall River Ave, MA",2OZ FIORUCCI MILD SALAMI W AGED CHED,0,0,0,0,0,10.00,10.00
"1- 533 East Main Rd, RI",KRAFT AM WHTE CHSE SINGLES,2.00,0,1.00,0,1.00,5.00,9.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI GRK YOG MNGO,0,0,0,0,8.00,1.00,9.00
"1- 533 East Main Rd, RI",2OZ FIORUCCI MILD SALAMI W AGED CHED,0,0,0,0,0,9.00,9.00
"2 - 3302 East Main Rd, RI",CABOT CRACKER CUTS PEPPER JACK,1.00,2.00,1.00,0,4.00,1.00,9.00
"2 - 3302 East Main Rd, RI",CABOT CHSE SHRED SERIOUS SHRPCHD,5.00,1.00,0,2.00,1.00,0,9.00
"5 - 965 Fall River Ave, MA",KRAFT PHIL CREAM CHSE PLN SOFT,1.00,0,4.00,2.00,1.00,1.00,9.00
"5 - 965 Fall River Ave, MA",4OZ OBERTO CHCKN BFFLO,0,0,0,0,4.00,5.00,9.00
"6 - 1776 Post Road, RI ",CABOT CHSE SHRED SERIOUS SHRPCHD,2.00,2.00,3.00,0,2.00,0,9.00
"1- 533 East Main Rd, RI",CABOT CHSE STK SERIOUS SHRP CHDR,1.00,0,1.00,3.00,3.00,0,8.00
"1- 533 East Main Rd, RI",1.5OZ SARGENTO PPRJK COLBY RITZ,0,0,0,0,1.00,7.00,8.00
"2 - 3302 East Main Rd, RI",5.3OZ CHOBANI FLIP PNUT BTR DREAM,0,0,0,8.00,0,0,8.00
"2 - 3302 East Main Rd, RI",BAR S JUMBO MEAT FRANKS     8TO1,1.00,0,0,5.00,0,2.00,8.00
"6 - 1776 Post Road, RI ",CABOT CRACKER CUTS PEPPER JACK,0,3.00,2.00,2.00,1.00,0,8.00
"1- 533 East Main Rd, RI",8OZ CABOT CREAM CHSE PLN,0,0,0,3.00,2.00,2.00,7.00
"2 - 3302 East Main Rd, RI",VAN HOLTEN PICKLE HOT    I W 612,2.00,0,1.00,2.00,2.00,0,7.00
"5 - 965 Fall River Ave, MA",4OZ OBERTO CHCKN BBQ,0,0,0,0,3.00,4.00,7.00
"5 - 965 Fall River Ave, MA",KRAFT MAC   CHSE            1871,2.00,2.00,0,0,0,3.00,7.00
"6 - 1776 Post Road, RI ",CABOT CHSE STK SERIOUS SHRP CHDR,2.00,2.00,2.00,1.00,0,0,7.00
"6 - 1776 Post Road, RI ",KRAFT AMERICAN CHS SNGL,0,0,2.00,5.00,0,0,7.00
"6 - 1776 Post Road, RI ",OM LNCHBL HAM CHEDDAR,0,0,0,0,4.00,3.00,7.00
"1- 533 East Main Rd, RI",CABOT CHSE STK SHARP CHEDD  0046,0,1.00,1.00,1.00,3.00,0,6.00
"2 - 3302 East Main Rd, RI",8OZ CABOT SOUR CRM,2.00,1.00,2.00,1.00,0,0,6.00
"5 - 965 Fall River Ave, MA",KRAFT AM WHTE CHSE SINGLES,0,0,3.00,0,2.00,1.00,6.00
"5 - 965 Fall River Ave, MA",CABOT CHSE STK SHARP CHEDD  0046,0,1.00,0,1.00,0,4.00,6.00
"5 - 965 Fall River Ave, MA",CABOT CHSE STK SERIOUS SHRP CHDR,2.00,0,1.00,1.00,2.00,0,6.00
"5 - 965 Fall River Ave, MA",HILLANDALE EGGS BRWN GRADE A LRG,6.00,0,0,0,0,0,6.00
"6 - 1776 Post Road, RI ",KRAFT PHIL CREAM CHSE PLN  BRICK,0,5.00,0,1.00,0,0,6.00
"1- 533 East Main Rd, RI",CABOT CRACKER CUTS PEPPER JACK,2.00,0,1.00,2.00,0,0,5.00
"1- 533 East Main Rd, RI",1.5OZ SARGENTO COLBY DRK CHOC,0,0,0,0,0,5.00,5.00
"2 - 3302 East Main Rd, RI",KRAFT AM WHTE CHSE SINGLES,0,1.00,1.00,1.00,0,2.00,5.00
"2 - 3302 East Main Rd, RI",CABOT CHSE STK SHARP CHEDD  0046,2.00,1.00,1.00,1.00,0,0,5.00
"5 - 965 Fall River Ave, MA",CABOT CHSE SHRED SERIOUS SHRPCHD,0,1.00,2.00,1.00,0,1.00,5.00
"5 - 965 Fall River Ave, MA",CABOT CRACKER CUTS VT SHRP CHED,0,1.00,2.00,1.00,1.00,0,5.00
"1- 533 East Main Rd, RI",KRAFT AMERICAN CHS SNGL,0,1.00,1.00,0,1.00,1.00,4.00
"2 - 3302 East Main Rd, RI",KRAFT AMERICAN CHS SNGL,0,0,0,0,3.00,1.00,4.00
"2 - 3302 East Main Rd, RI",KRAFT PHIL CREAM CHSE PLN SOFT,2.00,1.00,0,1.00,0,0,4.00
"2 - 3302 East Main Rd, RI",12OZ CABOT DIP RNCH,1.00,0,2.00,0,0,1.00,4.00
"6 - 1776 Post Road, RI ",KRAFT AM WHTE CHSE SINGLES,3.00,0,0,0,1.00,0,4.00
"6 - 1776 Post Road, RI ",12OZ CABOT DIP RNCH,0,2.00,1.00,0,0,1.00,4.00
"6 - 1776 Post Road, RI ",BAR S JUMBO MEAT FRANKS     8TO1,1.00,2.00,1.00,0,0,0,4.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI FLIP SLTED CARML,0,0,0,0,0,3.00,3.00
"1- 533 East Main Rd, RI",BAR S JUMBO MEAT FRANKS     8TO1,2.00,0,0,1.00,0,0,3.00
"2 - 3302 East Main Rd, RI",OM LNCHBL PIZZA PEPP,0,0,0,0,0,3.00,3.00
